Quarter,Course Level2,Course,Instructor,Grade Given,Sum of Student Count
M10,Undergraduate,CH E     10,PARRA A,A,2
M10,Undergraduate,CH E     10,PARRA A,A-,1
M10,Undergraduate,CH E     10,PARRA A,B+,1
M10,Undergraduate,CH E     10,PARRA A,B,1
M10,Undergraduate,CH E     10,PARRA A,B-,1
M10,Undergraduate,CH E     10,PARRA A,C,1
M10,Undergraduate,CH E     10,PARRA A,D,2
M10,Undergraduate,CH E    110A,LUCAS G E,A,4
M10,Undergraduate,CH E    110A,LUCAS G E,B,2
M10,Undergraduate,CH E    110A,LUCAS G E,B-,1
M10,Undergraduate,CH E    110A,LUCAS G E,C-,2
